"title_year","currency","movie_title"
"2015","USA","ted2"
"2009","USA","agora"
"1999","USA","mysterymen"
"2011","USA","hallpass"
"1999","USA","theinsider"
"2016","USA","thefinesthours"
"2008","USA","bodyoflies"
"2010","USA","dinnerforschmucks"
"2012","USA","abrahamlincolnvampirehunter"
"1999","USA","entrapment"
NA,"USA","lastmanstanding"
"1998","USA","thexfiles"
"2007","USA","thelastlegion"
"1998","USA","savingprivateryan"
"2014","USA","needforspeed"
"2000","USA","whatwomenwant"
"2002","USA","iceage"
"2003","USA","dreamcatcher"
"2012","USA","lincoln"
"1999","USA","thematrix"
"1995","USA","apollo13"
"2002","USA","thesantaclause2"
"2012","USA","lesmisxc3xa9rables"
"1998","USA","youvegotmail"
"2008","USA","stepbrothers"
"1998","USA","themaskofzorro"
"2010","USA","duedate"
"2014","USA","unbroken"
"2000","USA","spacecowboys"
"1993","USA","cliffhanger"
"1996","USA","brokenarrow"
"2000","USA","thekid"
"2006","USA","worldtradecenter"
"2003","USA","monalisasmile"
"2012","USA","thedictator"
"1999","USA","eyeswideshut"
"2014","USA","annie"
"2015","USA","focus"
"2012","USA","thismeanswar"
"2004","USA","bladetrinity"
"1984","USA","reddawn"
"1998","USA","primarycolors"
"2012","USA","residentevilretribution"
"2008","USA","deathrace"
"1996","USA","thelongkissgoodnight"
"2000","USA","proofoflife"
"2005","USA","zathuraaspaceadventure"
"1999","USA","fightclub"
"2006","USA","wearemarshall"
NA,"USA","themissing"
"1991","USA","hudsonhawk"
"2000","USA","luckynumbers"
"2014","USA","ifrankenstein"
"2005","€","olivertwist"
"2005","USA","elektra"
"2014","USA","sincityadametokillfor"
"1999","USA","randomhearts"
"2015","USA","everest"
"2006","€","perfumethestoryofamurderer"
"2002","USA","austinpowersingoldmember"
"2009","USA","astroboy"
"1993","USA","jurassicpark"
"1994","USA","wyattearp"
"1994","USA","clearandpresentdanger"
"2015","USA","dragonblade"
"2006","USA","littleman"
"2000","USA","u571"
"1995","USA","theamericanpresident"
"2008","USA","theloveguru"
"2001","USA","3000milestograceland"
"2015","USA","thehatefuleight"
"2007","USA","bladesofglory"
"2011","USA","hop"
"2006","USA","300"
"2004","USA","meetthefockers"
"2008","USA","marley&me"
"1999","USA","thegreenmile"
"2007","USA","wildhogs"
"2005","USA","chickenlittle"
"2014","USA","gonegirl"
"2002","USA","thebourneidentity"
"1995","USA","goldeneye"
"1999","USA","thegeneralsdaughter"
"1998","USA","thetrumanshow"
"1998","USA","theprinceofegypt"
"2003","USA","daddydaycare"
"2013","USA","2guns"
"2001","USA","cats&dogs"
"2003","USA","theitalianjob"
"2002","USA","twoweeksnotice"
"1998","USA","antz"
"2009","USA","couplesretreat"
"1990","USA","daysofthunder"
"2005","USA","cheaperbythedozen2"
"2015","USA","thescorchtrials"
"2010","USA","eatpraylove"
"2000","USA","thefamilyman"
"2010","USA","red"
"1999","USA","anygivensunday"
"1998","USA","thehorsewhisperer"
"2004","USA","collateral"
"2002","USA","thescorpionking"
"2004","USA","ladder49"
"2012","USA","jackreacher"
"1999","USA","deepbluesea"
"2009","USA","thisisit"
"2011","USA","contagion"
"2003","USA","kangaroojack"
"2009","USA","coraline"
"2008","USA","thehappening"
"2004","USA","manonfire"
"2006","USA","theshaggydog"
"2004","USA","starsky&hutch"
"1996","USA","jinglealltheway"
"2004","USA","hellboy"
"1998","USA","acivilaction"
"2012","USA","paranorman"
"1997","USA","thejackal"
"2003","USA","paycheck"
"1996","USA","upclose&personal"
