title_year,budget,movie_title,gross
1996,100000000,'Eraser',101295562
1996,100000000,'The Hunchback of Notre Dame',100138851
2000,100000000,'The Emperor's New Groove',89296573
2012,100000000,'The Expendables 2',85028192
2009,100000000,'Where the Wild Things Are',77233467
2006,100000000,'Eragon',75030163
2014,100000000,'Hercules',72688614
2010,100000000,'The Tourist',67631157
1999,100000000,'End of Days',66889043
2004,100000000,'The Stepford Wives',59475623
2007,100000000,'Surf's Up',58867694
2006,100000000,'Blood Diamond',57377916
2010,100000000,'Legend of the Guardians: The Owls of Ga'Hoole',55675313
1997,100000000,'Starship Troopers',54768952
2009,100000000,'Land of the Lost',49438370
2003,100000000,'Peter Pan',48417850
2004,100000000,'Catwoman',40202379
2014,100000000,'The Expendables 3',39322544
2002,100000000,'Treasure Planet',38120554
2010,100000000,'Green Zone',35497337
2015,100000000,'Point Break',28782481
2015,100000000,'In the Heart of the Sea',25020758
2014,100000000,'Transcendence',23022309
2005,100000000,'Son of the Mask',17018422
1998,100000000,'The Spanish Prisoner',10162034
2002,100000000,'The Adventures of Pluto Nash',4411102
2011,100000000,'Jin l\xc3\x83\xc2\xadng sh\xc3\x83\xc2\xad san chai',311434
2015,99000000,'The Peanuts Movie',130178411
2001,98000000,'The Mummy Returns',202007640
2002,97000000,'Gangs of New York',77730500
2016,96000000,'Jack Reacher: Never Go Back',0
2015,95000000,'Cinderella',201151353
2012,95000000,'Ice Age: Continental Drift',161321843
2001,95000000,'Black Hawk Down',108638745
2010,95000000,'Sex and the City 2',95347692
2010,95000000,'Percy Jackson & the Olympians: The Lightning Thief',88768303
2012,95000000,'The Campaign',86907746
2010,95000000,'Unstoppable',81562942
1997,95000000,'The Fifth Element',63570862
2000,95000000,'The Road to El Dorado',50802661
2009,95000000,'The Lovely Bones',44114232
2015,95000000,'Seventh Son',17223265
2016,95000000,'Ben-Hur',0
2003,94000000,'Finding Nemo',380529370
2003,94000000,'The Lord of the Rings: The Return of the King',377845905
2002,94000000,'The Lord of the Rings: The Two Towers',342548984
2001,94000000,'Lara Croft: Tomb Raider',131144183
2001,93000000,'Jurassic Park III',181166115
2011,93000000,'Rise of the Planet of the Apes',176760185
2008,92500000,'The Spiderwick Chronicles',71195053
2004,92000000,'The Incredibles',261441092
2013,92000000,'A Good Day to Die Hard',67349198
2004,92000000,'The Alamo',22406362
1995,92000000,'Cutthroat Island',10017322
2013,91000000,'The Secret Life of Walter Mitty',58236838
1997,90000000,'Men in Black',250690539
1999,90000000,'Toy Story 2',245852179
2001,90000000,'Rush Hour 2',226164286
2009,90000000,'Sherlock Holmes',209028679
2009,90000000,'Ice Age: Dawn of the Dinosaurs',196573705
2000,90000000,'What Lies Beneath',155464351
2011,90000000,'Rio',143619809
2006,90000000,'The Departed',132384315
2000,90000000,'Charlie's Angels',125305545
1998,90000000,'Mulan',120620254
2008,90000000,'Tropic Thunder',110461307
2011,90000000,'The Girl with the Dragon Tattoo',102515793
1997,90000000,'Contact',100920329
2008,90000000,'You Don't Mess With the Zohan',100018837
1995,90000000,'Die Hard: With a Vengeance',100012499
2015,90000000,'Alvin and the Chipmunks: The Road Chip',85886987
2001,90000000,'Atlantis: The Lost Empire',84052762
2008,90000000,'Valkyrie',83077762
2015,90000000,'Pixels',78747585
2001,90000000,'Artificial Intelligence: AI',78616689
2003,90000000,'The Haunted Mansion',75817994
2000,90000000,'Hollow Man',73209340
2005,90000000,'The Interpreter',72708161
2013,90000000,'Percy Jackson: Sea of Monsters',68559554
2003,90000000,'Lara Croft: Tomb Raider: The Cradle of Life',65653758
2016,90000000,'Now You See Me 2',64704841
2001,90000000,'Spy Game',62362560
1997,90000000,'The Saint',61363304
2000,90000000,'Mission to Mars',60874615
1999,90000000,'Bicentennial Man',58220776
2004,90000000,'King Arthur',51877963
1997,90000000,'Volcano',47546796
1997,90000000,'The Devil's Own',42885593
2002,90000000,'K-19: The Widowmaker',35168966
2011,90000000,'Conan the Barbarian',21295021
2011,90000000,'The Three Musketeers',20377913
2010,90000000,'The Nutcracker in 3D',195459
1996,88000000,'Twister',241688385
2005,88000000,'Cinderella Man',61649911
2005,87500000,'Fantastic Four',154696080
2001,87000000,'Hannibal',165092266
2003,86000000,'Seabiscuit',120277854
2000,85000000,'Cast Away',233632142
2006,85000000,'Happy Feet',198000317
2001,85000000,'Ocean's Eleven',183417150
2004,85000000,'The Bourne Supremacy',176087450
1997,85000000,'Air Force One',172956409
2009,85000000,'Fast & Furious',155064265
2008,85000000,'Horton Hears a Who',154529439
2014,85000000,'Divergent',150947895
2012,85000000,'Hotel Transylvania',148313048
2007,85000000,'Enchanted',127706877
2012,85000000,'Safe House',126181630
2007,85000000,'I Now Pronounce You Chuck and Larry',119725280
2007,85000000,'Ocean's Thirteen',117144465
2009,85000000,'It's Complicated',112735375
1998,85000000,'Enemy of the State',111549836
2006,85000000,'Open Season',85105259
2011,85000000,'Tower Heist',78046570
2000,85000000,'102 Dalmatians',66941559
2012,85000000,'Mirror Mirror',64935167
2006,85000000,'The Holiday',63280000
2006,85000000,'The Fast and the Furious: Tokyo Drift',62615510
